Solar irradiance (Kurucz, R.L. 2005)   revised 02jan2010
High resolution irradiance spectrum from 300 to 1000 nm.
Thuillier et al (2004) calibration
Kurucz.harvard.edu/sun/irradiance2005/irradthuwn.br_5nm
0.5 nm FWHM Gaussian broadening
300 by 0.25 to 1000 nm
 
    nm    W/m**2/nm
  441.500  1.9728
  441.750  1.9167
  442.000  2.0457
  442.250  2.0615
  442.500  2.0066
  442.750  2.0239
  443.000  2.0387
  443.250  1.9952
  443.500  1.9287
  443.750  1.9596
  444.000  2.0617
  444.250  1.9990
  444.500  1.9926
  444.750  2.0696
  445.000  2.0795
  445.250  2.0353
  445.500  1.8992
  445.750  1.7997
  446.000  1.8091
  446.250  1.8486
  446.500  1.9363
  446.750  1.9784
  447.000  1.9658
  447.250  2.0260
  447.500  2.1111
  447.750  2.1324
  448.000  2.0545
  448.250  1.9439
  448.500  2.0220
  448.750  2.0951
  449.000  2.0238
  449.250  2.0075
  449.500  2.0129
  449.750  2.0275
  450.000  2.0846
  450.250  2.1166
  450.500  2.1832
  450.750  2.2133
  451.000  2.1964
  451.250  2.1683
  451.500  2.1103
  451.750  2.0919
  452.000  2.1134
  452.250  2.1184
  452.500  2.0475
  452.750  1.9245
  453.000  1.8584
  453.250  1.8915
  453.500  1.9124
  453.750  2.0003
  454.000  2.1079
  454.250  2.1014
  454.500  2.0841
  454.750  2.0322
  455.000  1.9806
  455.250  1.9887
  455.500  2.0060
  455.750  2.0550
  456.000  2.1474
  456.250  2.1676
  456.500  2.1019
  456.750  2.0866
  457.000  2.1379
  457.250  2.1224
  457.500  2.1526
  457.750  2.1700
  458.000  2.0954
  458.250  2.0091
  458.500  2.0028
  458.750  2.0456
  459.000  2.1069
  459.250  2.0820
  459.500  2.0469
  459.750  2.0403
  460.000  2.0432
  460.250  2.0487
  460.500  2.0710
  460.750  2.1153
  461.000  2.1610
  461.250  2.1427
  461.500  2.1168
  461.750  2.1225
  462.000  2.1191
  462.250  2.1370
  462.500  2.1438
  462.750  2.1467
  463.000  2.1433
  463.250  2.1360
  463.500  2.1146
  463.750  2.0792
  464.000  2.0559
  464.250  2.0859
  464.500  2.0652
  464.750  1.9882
  465.000  1.9898
  465.250  2.0601
  465.500  2.0616
  465.750  2.0652
  466.000  2.1361
  466.250  2.1326
  466.500  2.0373
  466.750  1.9053
  467.000  1.9004
  467.250  2.0178
  467.500  2.0680
  467.750  2.0862
  468.000  2.0283
  468.250  2.0066
  468.500  2.0560
  468.750  2.0855
  469.000  2.0665
  469.250  2.0503
  469.500  2.0773
  469.750  2.0767
  470.000  2.0043
  470.250  1.9293
  470.500  1.9201
  470.750  1.9557
  471.000  1.9670
  471.250  2.0098
  471.500  2.0222
  471.750  2.0690
  472.000  2.1389
  472.250  2.1526
  472.500  2.1451
  472.750  2.0826
  473.000  1.9833
  473.250  1.9856
  473.500  2.0291
  473.750  2.0288
  474.000  2.0566
  474.250  2.0904
  474.500  2.1146
  474.750  2.1265
  475.000  2.1277
  475.250  2.0982
  475.500  2.0458
  475.750  2.0447
  476.000  2.0862
  476.250  2.0582
  476.500  1.9881
  476.750  1.9856
  477.000  2.0580
  477.250  2.0949
  477.500  2.1278
  477.750  2.1675
  478.000  2.1694
  478.250  2.1357
  478.500  2.0835
  478.750  2.0446
  479.000  2.0385
  479.250  2.0804
  479.500  2.1483
  479.750  2.1626
  480.000  2.1002
  480.250  2.0906
  480.500  2.1017
  480.750  2.0735
  481.000  2.0709
  481.250  2.0966
  481.500  2.1249
  481.750  2.1531
  482.000  2.1595
  482.250  2.1184
  482.500  2.0623
  482.750  2.0833
  483.000  2.0803
  483.250  2.0667
  483.500  2.0762
  483.750  2.0771
  484.000  2.0314
  484.250  1.9999
  484.500  2.0294
  484.750  2.0550
  485.000  2.0373
  485.250  2.0175
  485.500  1.9353
  485.750  1.8079
  486.000  1.6113
  486.250  1.4300
  486.500  1.5882
  486.750  1.8141
  487.000  1.8643
  487.250  1.8018
  487.500  1.8536
  487.750  1.9467
  488.000  2.0052
  488.250  2.0303
  488.500  1.9905
  488.750  1.9215
  489.000  1.8704
  489.250  1.8592
  489.500  2.0233
  489.750  2.1376
  490.000  2.1235
  490.250  2.0814
  490.500  2.0608
  490.750  2.0743
  491.000  2.0137
  491.250  1.9743
  491.500  2.0455
  491.750  2.0100
  492.000  1.8215
  492.250  1.7870
  492.500  1.9080
  492.750  2.0126
  493.000  2.0788
  493.250  2.0624
  493.500  1.9877
  493.750  1.9404
  494.000  1.9153
  494.250  2.0123
  494.500  2.0864
  494.750  2.0805
  495.000  2.0954
  495.250  2.0935
  495.500  2.0419
  495.750  1.9129
  496.000  1.9162
  496.250  2.0680
  496.500  2.0835
  496.750  2.0296
  497.000  2.0028
  497.250  2.0315
  497.500  2.0770
  497.750  2.0660
  498.000  1.9947
  498.250  1.8770
  498.500  1.8067
